id,title,assignee,inventor,priority_date,creation_date,publication_date,grant_date,result_link,representative_figure_link,number_of_authors,number_of_viewers
US-11475710-B2,"Multi-modal emotion recognition device, method, and storage medium using artificial intelligence ","Genesis Lab, Inc.","Dae-Hun YOO, Young-Bok Lee",2017-11-24,2020-08-04,2022-10-18,2022-10-18,https://patents.google.com/patent/US11475710B2/en,https://patentimages.storage.googleapis.com/46/4c/21/cc82cc74697acf/US11475710-20221018-D00000.png,one,20112
CA-3069936-C,System and method for identifying and providing personalized self-help content with artificial intelligence in a customer self-help system ,"Intuit Inc., Benjamin Indyk, Igor A. Podgorny, Ling Feng WEI, Faraz Sharafi","Benjamin Indyk, Igor A. Podgorny, Ling Feng WEI, Faraz Sharafi",2017-07-14,2018-07-06,2021-11-16,2021-11-16,https://patents.google.com/patent/CA3069936C/en,,one,20113
US-11113653-B2,Artificial intelligence and machine learning based incident management ,Accenture Global Solutions Limited,"Sankar Ghosh, Priyadarshi Sengupta, Reshmi Nandy, Amit Bisarya",2018-12-26,2018-12-26,2021-09-07,2021-09-07,https://patents.google.com/patent/US11113653B2/en,https://patentimages.storage.googleapis.com/9c/3a/17/8f55db650326cc/US11113653-20210907-D00000.png,one,20114
US-2022035961-A1,System and method for artifact reduction of computed tomography reconstruction leveraging artificial intelligence and a priori known model for the object of interest ,"Ut-Battelle, Llc","Amir Ziabari, Singanallur Venkatakrishnan, Philip R. Bingham, Michael M. Kirka, Vincent C. Paquit, Ryan R. Dehoff, Abhishek Dubey",2020-08-03,2021-08-03,2022-02-03,,https://patents.google.com/patent/US20220035961A1/en,https://patentimages.storage.googleapis.com/98/22/fc/5af2bb9b0d87ad/US20220035961A1-20220203-D00000.png,two,20115
US-11334901-B2,Artificial intelligence generation of an itemized property and renters insurance inventory list for communication to a property and renters insurance company ,"Yembo, Inc.","Zachary RATTNER, Siddharth Mohan",2016-05-03,2019-12-30,2022-05-17,2022-05-17,https://patents.google.com/patent/US11334901B2/en,https://patentimages.storage.googleapis.com/70/de/48/50bae89de464ae/US11334901-20220517-D00000.png,two,20116
US-11222205-B1,Systems and methods for hail damage verification on rooftops using computer vision and artificial intelligence ,State Farm Mutual Automobile Insurance Company,Brian N. Harvey,2017-06-13,2020-03-20,2022-01-11,2022-01-11,https://patents.google.com/patent/US11222205B1/en,https://patentimages.storage.googleapis.com/73/b2/c5/21214c85836891/US11222205-20220111-D00000.png,two,20117
US-10923233-B1,Computer network architecture with machine learning and artificial intelligence and dynamic patient guidance ,"Clarify Health Solutions, Inc.","Yale Wang, Samuel H. Bauknight, Adam F. Rogow, Jeffrey D. Larson, Jean P. Drouin",2018-06-13,2019-11-25,2021-02-16,2021-02-16,https://patents.google.com/patent/US10923233B1/en,https://patentimages.storage.googleapis.com/88/82/4e/a2e860b015ce88/US10923233-20210216-D00000.png,two,20118
US-11651002-B2,"Method for providing intelligent service, intelligent service system and intelligent terminal based on artificial intelligence ","Beijing Baidu Netcom Science And Technology Co., Ltd.","Daxiang DONG, Jun Zhang, Dianhai YU",2016-05-17,2018-11-16,2023-05-16,2023-05-16,https://patents.google.com/patent/US11651002B2/en,https://patentimages.storage.googleapis.com/d1/15/e6/602aeef715168b/US11651002-20230516-D00000.png,two,20119
US-10140553-B1,Machine learning artificial intelligence system for identifying vehicles ,"Capital One Services, Llc","Sunil Subrahmanyam Vasisht, Geoffrey Dagley, Qiaochu Tang, Sean Reddy, Jason Richard Hoover, Stephen Michael Wylie, Micah Price",2018-03-08,2018-03-08,2018-11-27,2018-11-27,https://patents.google.com/patent/US10140553B1/en,https://patentimages.storage.googleapis.com/96/96/54/81e71544f05bea/US10140553-20181127-D00000.png,two,20120
US-10963649-B1,Applied artificial intelligence technology for narrative generation using an invocable analysis service and configuration-driven analytics ,Narrative Science Inc.,"Alexander Rudolf Sippel, Bo He, Nathan William Krapf",2018-01-17,2018-12-28,2021-03-30,2021-03-30,https://patents.google.com/patent/US10963649B1/en,https://patentimages.storage.googleapis.com/3f/ce/88/9fe76759e8136d/US10963649-20210330-D00000.png,two,20121
